quadkey	wkt
24132805	POLYGON ((99.404296875 9.140625, 99.404296875 9.228515625, 99.4921875 9.228515625, 99.4921875 9.140625, 99.404296875 9.140625))
24133056	POLYGON ((100.546875 9.140625, 100.546875 9.228515625, 100.634765625 9.228515625, 100.634765625 9.140625, 100.546875 9.140625))
24132806	POLYGON ((99.31640625 9.228515625, 99.31640625 9.31640625, 99.404296875 9.31640625, 99.404296875 9.228515625, 99.31640625 9.228515625))
24132807	POLYGON ((99.404296875 9.228515625, 99.404296875 9.31640625, 99.4921875 9.31640625, 99.4921875 9.228515625, 99.404296875 9.228515625))
24132818	POLYGON ((99.4921875 9.228515625, 99.4921875 9.31640625, 99.580078125 9.31640625, 99.580078125 9.228515625, 99.4921875 9.228515625))
24132819	POLYGON ((99.580078125 9.228515625, 99.580078125 9.31640625, 99.66796875 9.31640625, 99.66796875 9.228515625, 99.580078125 9.228515625))
24132822	POLYGON ((99.66796875 9.228515625, 99.66796875 9.31640625, 99.755859375 9.31640625, 99.755859375 9.228515625, 99.66796875 9.228515625))
24133058	POLYGON ((100.546875 9.228515625, 100.546875 9.31640625, 100.634765625 9.31640625, 100.634765625 9.228515625, 100.546875 9.228515625))
24132813	POLYGON ((99.404296875 9.31640625, 99.404296875 9.404296875, 99.4921875 9.404296875, 99.4921875 9.31640625, 99.404296875 9.31640625))
24132824	POLYGON ((99.4921875 9.31640625, 99.4921875 9.404296875, 99.580078125 9.404296875, 99.580078125 9.31640625, 99.4921875 9.31640625))
24132825	POLYGON ((99.580078125 9.31640625, 99.580078125 9.404296875, 99.66796875 9.404296875, 99.66796875 9.31640625, 99.580078125 9.31640625))
24132828	POLYGON ((99.66796875 9.31640625, 99.66796875 9.404296875, 99.755859375 9.404296875, 99.755859375 9.31640625, 99.66796875 9.31640625))
24132829	POLYGON ((99.755859375 9.31640625, 99.755859375 9.404296875, 99.84375 9.404296875, 99.84375 9.31640625, 99.755859375 9.31640625))
24133064	POLYGON ((100.546875 9.31640625, 100.546875 9.404296875, 100.634765625 9.404296875, 100.634765625 9.31640625, 100.546875 9.31640625))
24132815	POLYGON ((99.404296875 9.404296875, 99.404296875 9.4921875, 99.4921875 9.4921875, 99.4921875 9.404296875, 99.404296875 9.404296875))
24132826	POLYGON ((99.4921875 9.404296875, 99.4921875 9.4921875, 99.580078125 9.4921875, 99.580078125 9.404296875, 99.4921875 9.404296875))
24132827	POLYGON ((99.580078125 9.404296875, 99.580078125 9.4921875, 99.66796875 9.4921875, 99.66796875 9.404296875, 99.580078125 9.404296875))
24132830	POLYGON ((99.66796875 9.404296875, 99.66796875 9.4921875, 99.755859375 9.4921875, 99.755859375 9.404296875, 99.66796875 9.404296875))
24132831	POLYGON ((99.755859375 9.404296875, 99.755859375 9.4921875, 99.84375 9.4921875, 99.84375 9.404296875, 99.755859375 9.404296875))
24133002	POLYGON ((99.84375 9.404296875, 99.84375 9.4921875, 99.931640625 9.4921875, 99.931640625 9.404296875, 99.84375 9.404296875))
24133066	POLYGON ((100.546875 9.404296875, 100.546875 9.4921875, 100.634765625 9.4921875, 100.634765625 9.404296875, 100.546875 9.404296875))
24132837	POLYGON ((99.404296875 9.4921875, 99.404296875 9.580078125, 99.4921875 9.580078125, 99.4921875 9.4921875, 99.404296875 9.4921875))
24132848	POLYGON ((99.4921875 9.4921875, 99.4921875 9.580078125, 99.580078125 9.580078125, 99.580078125 9.4921875, 99.4921875 9.4921875))
24132849	POLYGON ((99.580078125 9.4921875, 99.580078125 9.580078125, 99.66796875 9.580078125, 99.66796875 9.4921875, 99.580078125 9.4921875))
24132852	POLYGON ((99.66796875 9.4921875, 99.66796875 9.580078125, 99.755859375 9.580078125, 99.755859375 9.4921875, 99.66796875 9.4921875))
24132853	POLYGON ((99.755859375 9.4921875, 99.755859375 9.580078125, 99.84375 9.580078125, 99.84375 9.4921875, 99.755859375 9.4921875))
24133024	POLYGON ((99.84375 9.4921875, 99.84375 9.580078125, 99.931640625 9.580078125, 99.931640625 9.4921875, 99.84375 9.4921875))
24133028	POLYGON ((100.01953125 9.4921875, 100.01953125 9.580078125, 100.107421875 9.580078125, 100.107421875 9.4921875, 100.01953125 9.4921875))
24133088	POLYGON ((100.546875 9.4921875, 100.546875 9.580078125, 100.634765625 9.580078125, 100.634765625 9.4921875, 100.546875 9.4921875))
24132850	POLYGON ((99.4921875 9.580078125, 99.4921875 9.66796875, 99.580078125 9.66796875, 99.580078125 9.580078125, 99.4921875 9.580078125))
24133026	POLYGON ((99.84375 9.580078125, 99.84375 9.66796875, 99.931640625 9.66796875, 99.931640625 9.580078125, 99.84375 9.580078125))
24133027	POLYGON ((99.931640625 9.580078125, 99.931640625 9.66796875, 100.01953125 9.66796875, 100.01953125 9.580078125, 99.931640625 9.580078125))
24133030	POLYGON ((100.01953125 9.580078125, 100.01953125 9.66796875, 100.107421875 9.66796875, 100.107421875 9.580078125, 100.01953125 9.580078125))
24133090	POLYGON ((100.546875 9.580078125, 100.546875 9.66796875, 100.634765625 9.66796875, 100.634765625 9.580078125, 100.546875 9.580078125))
24133091	POLYGON ((100.634765625 9.580078125, 100.634765625 9.66796875, 100.72265625 9.66796875, 100.72265625 9.580078125, 100.634765625 9.580078125))
24132093	POLYGON ((98.349609375 9.66796875, 98.349609375 9.755859375, 98.4375 9.755859375, 98.4375 9.66796875, 98.349609375 9.66796875))
24132856	POLYGON ((99.4921875 9.66796875, 99.4921875 9.755859375, 99.580078125 9.755859375, 99.580078125 9.66796875, 99.4921875 9.66796875))
24133032	POLYGON ((99.84375 9.66796875, 99.84375 9.755859375, 99.931640625 9.755859375, 99.931640625 9.66796875, 99.84375 9.66796875))
24133033	POLYGON ((99.931640625 9.66796875, 99.931640625 9.755859375, 100.01953125 9.755859375, 100.01953125 9.66796875, 99.931640625 9.66796875))
24133036	POLYGON ((100.01953125 9.66796875, 100.01953125 9.755859375, 100.107421875 9.755859375, 100.107421875 9.66796875, 100.01953125 9.66796875))
24133097	POLYGON ((100.634765625 9.66796875, 100.634765625 9.755859375, 100.72265625 9.755859375, 100.72265625 9.66796875, 100.634765625 9.66796875))
24132095	POLYGON ((98.349609375 9.755859375, 98.349609375 9.84375, 98.4375 9.84375, 98.4375 9.755859375, 98.349609375 9.755859375))
24132778	POLYGON ((98.4375 9.755859375, 98.4375 9.84375, 98.525390625 9.84375, 98.525390625 9.755859375, 98.4375 9.755859375))
24132858	POLYGON ((99.4921875 9.755859375, 99.4921875 9.84375, 99.580078125 9.84375, 99.580078125 9.755859375, 99.4921875 9.755859375))
24132859	POLYGON ((99.580078125 9.755859375, 99.580078125 9.84375, 99.66796875 9.84375, 99.66796875 9.755859375, 99.580078125 9.755859375))
24133034	POLYGON ((99.84375 9.755859375, 99.84375 9.84375, 99.931640625 9.84375, 99.931640625 9.755859375, 99.84375 9.755859375))
24133035	POLYGON ((99.931640625 9.755859375, 99.931640625 9.84375, 100.01953125 9.84375, 100.01953125 9.755859375, 99.931640625 9.755859375))
24133038	POLYGON ((100.01953125 9.755859375, 100.01953125 9.84375, 100.107421875 9.84375, 100.107421875 9.755859375, 100.01953125 9.755859375))
24133099	POLYGON ((100.634765625 9.755859375, 100.634765625 9.84375, 100.72265625 9.84375, 100.72265625 9.755859375, 100.634765625 9.755859375))
24133120	POLYGON ((98.4375 9.84375, 98.4375 9.931640625, 98.525390625 9.931640625, 98.525390625 9.84375, 98.4375 9.84375))
24133121	POLYGON ((98.525390625 9.84375, 98.525390625 9.931640625, 98.61328125 9.931640625, 98.61328125 9.84375, 98.525390625 9.84375))
24133201	POLYGON ((99.580078125 9.84375, 99.580078125 9.931640625, 99.66796875 9.931640625, 99.66796875 9.84375, 99.580078125 9.84375))
24133205	POLYGON ((99.755859375 9.84375, 99.755859375 9.931640625, 99.84375 9.931640625, 99.84375 9.84375, 99.755859375 9.84375))
24133376	POLYGON ((99.84375 9.84375, 99.84375 9.931640625, 99.931640625 9.931640625, 99.931640625 9.84375, 99.84375 9.84375))
24133441	POLYGON ((100.634765625 9.84375, 100.634765625 9.931640625, 100.72265625 9.931640625, 100.72265625 9.84375, 100.634765625 9.84375))
24133123	POLYGON ((98.525390625 9.931640625, 98.525390625 10.01953125, 98.61328125 10.01953125, 98.61328125 9.931640625, 98.525390625 9.931640625))
24133203	POLYGON ((99.580078125 9.931640625, 99.580078125 10.01953125, 99.66796875 10.01953125, 99.66796875 9.931640625, 99.580078125 9.931640625))
24133206	POLYGON ((99.66796875 9.931640625, 99.66796875 10.01953125, 99.755859375 10.01953125, 99.755859375 9.931640625, 99.66796875 9.931640625))
24133207	POLYGON ((99.755859375 9.931640625, 99.755859375 10.01953125, 99.84375 10.01953125, 99.84375 9.931640625, 99.755859375 9.931640625))
