quadkey	wkt
24130779	POLYGON ((99.580078125 6.591796875, 99.580078125 6.6796875, 99.66796875 6.6796875, 99.66796875 6.591796875, 99.580078125 6.591796875))
24130782	POLYGON ((99.66796875 6.591796875, 99.66796875 6.6796875, 99.755859375 6.6796875, 99.755859375 6.591796875, 99.66796875 6.591796875))
24130783	POLYGON ((99.755859375 6.591796875, 99.755859375 6.6796875, 99.84375 6.6796875, 99.84375 6.591796875, 99.755859375 6.591796875))
24130954	POLYGON ((99.84375 6.591796875, 99.84375 6.6796875, 99.931640625 6.6796875, 99.931640625 6.591796875, 99.84375 6.591796875))
24130955	POLYGON ((99.931640625 6.591796875, 99.931640625 6.6796875, 100.01953125 6.6796875, 100.01953125 6.591796875, 99.931640625 6.591796875))
24130958	POLYGON ((100.01953125 6.591796875, 100.01953125 6.6796875, 100.107421875 6.6796875, 100.107421875 6.591796875, 100.01953125 6.591796875))
24130959	POLYGON ((100.107421875 6.591796875, 100.107421875 6.6796875, 100.1953125 6.6796875, 100.1953125 6.591796875, 100.107421875 6.591796875))
24130971	POLYGON ((100.283203125 6.591796875, 100.283203125 6.6796875, 100.37109375 6.6796875, 100.37109375 6.591796875, 100.283203125 6.591796875))
24130974	POLYGON ((100.37109375 6.591796875, 100.37109375 6.6796875, 100.458984375 6.6796875, 100.458984375 6.591796875, 100.37109375 6.591796875))
24130975	POLYGON ((100.458984375 6.591796875, 100.458984375 6.6796875, 100.546875 6.6796875, 100.546875 6.591796875, 100.458984375 6.591796875))
24131018	POLYGON ((100.546875 6.591796875, 100.546875 6.6796875, 100.634765625 6.6796875, 100.634765625 6.591796875, 100.546875 6.591796875))
24131019	POLYGON ((100.634765625 6.591796875, 100.634765625 6.6796875, 100.72265625 6.6796875, 100.72265625 6.591796875, 100.634765625 6.591796875))
24131022	POLYGON ((100.72265625 6.591796875, 100.72265625 6.6796875, 100.810546875 6.6796875, 100.810546875 6.591796875, 100.72265625 6.591796875))
24131023	POLYGON ((100.810546875 6.591796875, 100.810546875 6.6796875, 100.8984375 6.6796875, 100.8984375 6.591796875, 100.810546875 6.591796875))
24131034	POLYGON ((100.8984375 6.591796875, 100.8984375 6.6796875, 100.986328125 6.6796875, 100.986328125 6.591796875, 100.8984375 6.591796875))
24131035	POLYGON ((100.986328125 6.591796875, 100.986328125 6.6796875, 101.07421875 6.6796875, 101.07421875 6.591796875, 100.986328125 6.591796875))
24131038	POLYGON ((101.07421875 6.591796875, 101.07421875 6.6796875, 101.162109375 6.6796875, 101.162109375 6.591796875, 101.07421875 6.591796875))
24131039	POLYGON ((101.162109375 6.591796875, 101.162109375 6.6796875, 101.25 6.6796875, 101.25 6.591796875, 101.162109375 6.591796875))
24141962	POLYGON ((101.25 6.591796875, 101.25 6.6796875, 101.337890625 6.6796875, 101.337890625 6.591796875, 101.25 6.591796875))
24141963	POLYGON ((101.337890625 6.591796875, 101.337890625 6.6796875, 101.42578125 6.6796875, 101.42578125 6.591796875, 101.337890625 6.591796875))
24141966	POLYGON ((101.42578125 6.591796875, 101.42578125 6.6796875, 101.513671875 6.6796875, 101.513671875 6.591796875, 101.42578125 6.591796875))
24141967	POLYGON ((101.513671875 6.591796875, 101.513671875 6.6796875, 101.6015625 6.6796875, 101.6015625 6.591796875, 101.513671875 6.591796875))
24141978	POLYGON ((101.6015625 6.591796875, 101.6015625 6.6796875, 101.689453125 6.6796875, 101.689453125 6.591796875, 101.6015625 6.591796875))
24141979	POLYGON ((101.689453125 6.591796875, 101.689453125 6.6796875, 101.77734375 6.6796875, 101.77734375 6.591796875, 101.689453125 6.591796875))
24130801	POLYGON ((99.580078125 6.6796875, 99.580078125 6.767578125, 99.66796875 6.767578125, 99.66796875 6.6796875, 99.580078125 6.6796875))
24130804	POLYGON ((99.66796875 6.6796875, 99.66796875 6.767578125, 99.755859375 6.767578125, 99.755859375 6.6796875, 99.66796875 6.6796875))
24130805	POLYGON ((99.755859375 6.6796875, 99.755859375 6.767578125, 99.84375 6.767578125, 99.84375 6.6796875, 99.755859375 6.6796875))
24130976	POLYGON ((99.84375 6.6796875, 99.84375 6.767578125, 99.931640625 6.767578125, 99.931640625 6.6796875, 99.84375 6.6796875))
24130977	POLYGON ((99.931640625 6.6796875, 99.931640625 6.767578125, 100.01953125 6.767578125, 100.01953125 6.6796875, 99.931640625 6.6796875))
24130980	POLYGON ((100.01953125 6.6796875, 100.01953125 6.767578125, 100.107421875 6.767578125, 100.107421875 6.6796875, 100.01953125 6.6796875))
24130981	POLYGON ((100.107421875 6.6796875, 100.107421875 6.767578125, 100.1953125 6.767578125, 100.1953125 6.6796875, 100.107421875 6.6796875))
24130992	POLYGON ((100.1953125 6.6796875, 100.1953125 6.767578125, 100.283203125 6.767578125, 100.283203125 6.6796875, 100.1953125 6.6796875))
24130993	POLYGON ((100.283203125 6.6796875, 100.283203125 6.767578125, 100.37109375 6.767578125, 100.37109375 6.6796875, 100.283203125 6.6796875))
